day,hour,value
Friday,0,2.25
Friday,1,0.29464285714285715
Friday,2,0.11607142857142858
Friday,3,0.0
Friday,4,0.0
Friday,5,0.0
Friday,6,0.0
Friday,7,0.0
Friday,8,0.35714285714285715
Friday,9,2.669642857142857
Friday,10,4.241071428571429
Friday,11,13.598214285714286
Friday,12,34.232142857142854
Friday,13,37.785714285714285
Friday,14,37.982142857142854
Friday,15,37.25
Friday,16,42.24107142857143
Friday,17,53.544642857142854
Friday,18,65.15178571428571
Friday,19,72.3125
Friday,20,69.9375
Friday,21,59.401785714285715
Friday,22,41.67857142857143
Friday,23,25.848214285714285
Monday,0,2.294642857142857
Monday,1,0.5625
Monday,2,0.23214285714285715
Monday,3,0.0
Monday,4,0.0
Monday,5,0.0
Monday,6,0.375
Monday,7,0.23214285714285715
Monday,8,0.5446428571428571
Monday,9,2.892857142857143
Monday,10,4.1875
Monday,11,13.285714285714286
Monday,12,28.892857142857142
Monday,13,30.3125
Monday,14,31.169642857142858
Monday,15,32.205357142857146
Monday,16,34.964285714285715
Monday,17,39.598214285714285
Monday,18,44.910714285714285
Monday,19,47.348214285714285
Monday,20,43.205357142857146
Monday,21,34.901785714285715
Monday,22,22.0625
Monday,23,7.830357142857143
Saturday,0,10.133928571428571
Saturday,1,4.410714285714286
Saturday,2,1.0446428571428572
Saturday,3,0.0
Saturday,4,0.0
Saturday,5,0.0
Saturday,6,0.0
Saturday,7,0.0
Saturday,8,0.35714285714285715
Saturday,9,1.9553571428571428
Saturday,10,3.767857142857143
Saturday,11,10.964285714285714
Saturday,12,29.732142857142858
Saturday,13,35.1875
Saturday,14,39.026785714285715
Saturday,15,44.875
Saturday,16,52.36607142857143
Saturday,17,60.419642857142854
Saturday,18,68.1875
Saturday,19,70.53571428571429
Saturday,20,67.91964285714286
Saturday,21,56.9375
Saturday,22,41.214285714285715
Saturday,23,27.169642857142858
Sunday,0,11.053571428571429
Sunday,1,5.776785714285714
Sunday,2,1.3928571428571428
Sunday,3,0.0
Sunday,4,0.0
Sunday,5,0.0
Sunday,6,0.0
Sunday,7,0.0
Sunday,8,0.38392857142857145
Sunday,9,2.1339285714285716
Sunday,10,4.1875
Sunday,11,12.035714285714286
Sunday,12,31.366071428571427
Sunday,13,39.732142857142854
Sunday,14,44.25892857142857
Sunday,15,47.857142857142854
Sunday,16,51.955357142857146
Sunday,17,56.05357142857143
Sunday,18,57.49107142857143
Sunday,19,55.919642857142854
Sunday,20,47.07142857142857
Sunday,21,35.55357142857143
Sunday,22,20.017857142857142
Sunday,23,8.803571428571429
Thursday,0,1.8928571428571428
Thursday,1,0.44642857142857145
Thursday,2,0.30357142857142855
Thursday,3,0.21428571428571427
Thursday,4,0.11607142857142858
Thursday,5,0.15178571428571427
Thursday,6,0.3482142857142857
Thursday,7,0.4732142857142857
Thursday,8,1.1696428571428572
Thursday,9,3.6339285714285716
Thursday,10,4.142857142857143
Thursday,11,14.151785714285714
Thursday,12,31.714285714285715
Thursday,13,35.026785714285715
Thursday,14,34.910714285714285
Thursday,15,36.339285714285715
Thursday,16,40.94642857142857
Thursday,17,50.00892857142857
Thursday,18,57.142857142857146
Thursday,19,58.839285714285715
Thursday,20,53.00892857142857
Thursday,21,41.455357142857146
Thursday,22,25.375
Thursday,23,11.053571428571429
Tuesday,0,1.9196428571428572
Tuesday,1,0.4017857142857143
Tuesday,2,0.1875
Tuesday,3,0.0
Tuesday,4,0.0
Tuesday,5,0.0
Tuesday,6,0.1875
Tuesday,7,0.13392857142857142
Tuesday,8,0.4642857142857143
Tuesday,9,2.205357142857143
Tuesday,10,3.875
Tuesday,11,14.330357142857142
Tuesday,12,31.258928571428573
Tuesday,13,33.589285714285715
Tuesday,14,31.401785714285715
Tuesday,15,31.883928571428573
Tuesday,16,36.955357142857146
Tuesday,17,45.80357142857143
Tuesday,18,52.955357142857146
Tuesday,19,57.464285714285715
Tuesday,20,53.401785714285715
Tuesday,21,43.42857142857143
Tuesday,22,25.526785714285715
Tuesday,23,9.526785714285714
Wednesday,0,1.6071428571428572
Wednesday,1,0.24107142857142858
Wednesday,2,0.09821428571428571
Wednesday,3,0.0
Wednesday,4,0.0
Wednesday,5,0.0
Wednesday,6,0.13392857142857142
Wednesday,7,0.044642857142857144
Wednesday,8,0.5
Wednesday,9,2.392857142857143
Wednesday,10,4.107142857142857
Wednesday,11,15.419642857142858
Wednesday,12,34.75892857142857
Wednesday,13,36.357142857142854
Wednesday,14,36.375
Wednesday,15,35.785714285714285
Wednesday,16,40.330357142857146
Wednesday,17,48.098214285714285
Wednesday,18,54.3125
Wednesday,19,57.19642857142857
Wednesday,20,51.8125
Wednesday,21,42.044642857142854
Wednesday,22,24.973214285714285
Wednesday,23,9.794642857142858
